Zusammenfassung der eindeutigen Werte pro Spalte in clickstreams
============================================================

Spalte: session_action
Anzahl eindeutiger Werte: 359
Wert - Anzahl - Prozent
'show' - 2651443 - 26.28%
'index' - 833664 - 8.26%
'search_results' - 714067 - 7.08%
'personalize' - 691254 - 6.85%
'search' - 522685 - 5.18%
'ajax_refresh_subtotal' - 475322 - 4.71%
'update' - 360361 - 3.57%
'similar_listings' - 347798 - 3.45%
'social_connections' - 330707 - 3.28%
'reviews' - 310473 - 3.08%
'active' - 174452 - 1.73%
'similar_listings_v2' - 159729 - 1.58%
'lookup' - 156946 - 1.56%
'dashboard' - 152189 - 1.51%
'header_userpic' - 140235 - 1.39%
'collections' - 123362 - 1.22%
'edit' - 108675 - 1.08%
'campaigns' - 100777 - 1.00%
'create' - 80818 - 0.80%
'unavailabilities' - 77150 - 0.76%
'track_page_view' - 75532 - 0.75%
'qt2' - 64282 - 0.64%
'notifications' - 58926 - 0.58%
'confirm_email' - 58429 - 0.58%
'requested' - 56958 - 0.56%
'identity' - 53450 - 0.53%
'ajax_check_dates' - 51450 - 0.51%
'show_personalize' - 50158 - 0.50%
'ask_question' - 43853 - 0.43%
'listings' - 43024 - 0.43%
'calendar_tab_inner2' - 41627 - 0.41%
'travel_plans_current' - 38107 - 0.38%
'edit_verification' - 33303 - 0.33%
'ajax_lwlb_contact' - 33301 - 0.33%
'other_hosting_reviews_first' - 30542 - 0.30%
'recommendations' - 29654 - 0.29%
'impressions' - 26608 - 0.26%
'manage_listing' - 26195 - 0.26%
'authenticate' - 23803 - 0.24%
'payment_instruments' - 23316 - 0.23%
'click' - 22367 - 0.22%
'message_to_host_focus' - 21491 - 0.21%
'verify' - 21316 - 0.21%
'ajax_photo_widget_form_iframe' - 20686 - 0.21%
'payment_methods' - 19555 - 0.19%
'cancellation_policies' - 19208 - 0.19%
'complete_status' - 17254 - 0.17%
'custom_recommended_destinations' - 16487 - 0.16%
'settings' - 16333 - 0.16%
'pending' - 15747 - 0.16%
'profile_pic' - 15716 - 0.16%
'populate_help_dropdown' - 15252 - 0.15%
'message_to_host_change' - 14168 - 0.14%
'ajax_image_upload' - 13542 - 0.13%
'kba_update' - 12670 - 0.13%
'references' - 11353 - 0.11%
'my' - 11275 - 0.11%
